City,location_id,Cancer,cardiovascular,stroke,depression,rehab,vaccine,diarrhea,obesity,diabetes,year,Latitude,Longitude
Louisville KY,529,65,52,65,61,93,64,67,41,73,2011,38.2526647,-85.7584557
Lubbock TX,651,57,33,58,64,76,80,65,39,70,2011,33.5778631,-101.8551665
Macon GA,503,59,43,54,56,69,54,54,50,67,2011,32.8406946,-83.6324022
Madison WI,669,59,30,58,60,53,71,60,38,68,2011,43.0730517,-89.4012302
Mankato MN,737,53,34,53,69,44,57,53,38,63,2011,44.1635775,-93.9993996
Marquette MI,553,58,48,75,61,67,63,65,35,64,2011,46.5436199,-87.3953713
Medford-Klamath Falls OR,813,60,30,70,57,53,60,56,36,62,2011,42.224924,-121.7722781
Memphis TN,640,62,66,60,56,70,50,61,45,82,2011,35.1495343,-90.0489801
Meridian MS,711,68,47,62,65,57,49,85,40,85,2011,32.3643098,-88.703656
Miami-Ft. Lauderdale FL,528,55,39,49,42,58,47,57,24,57,2011,26.0947577,-80.1352122
Milwaukee WI,617,59,37,58,57,66,58,62,31,64,2011,43.0389025,-87.9064736
Minneapolis-St. Paul MN,613,55,35,58,54,55,57,65,32,62,2011,44.9374831,-93.2009998
Minot-Bismarck-Dickinson(Williston) ND,687,54,21,73,59,55,56,67,31,62,2011,46.8067257,-100.7865799
Missoula MT,762,55,31,61,65,61,64,60,43,64,2011,46.8721284,-113.9940314
Mobile AL-Pensacola (Ft. Walton Beach) FL,686,60,32,67,57,62,50,62,27,65,2011,30.4684724,-87.2087375
Monroe LA-El Dorado AR,628,65,50,65,60,65,43,59,46,81,2011,33.2152717,-92.64196
Monterey-Salinas CA,828,49,23,47,53,49,55,54,36,58,2011,36.6777372,-121.6555013
Montgomery (Selma) AL,698,64,57,62,55,76,46,64,37,65,2011,32.4068484,-87.0190868
Nashville TN,659,64,48,64,57,75,66,70,39,76,2011,36.1626638,-86.7816016
New Orleans LA,622,56,57,62,51,60,55,68,41,66,2011,29.9510658,-90.0715323
New York NY,501,56,28,47,51,61,51,55,27,55,2011,40.7127753,-74.0059728
Norfolk-Portsmouth-Newport News VA,544,54,40,58,53,54,55,58,36,70,2011,36.8354258,-76.2982742
North Platte NE,740,68,94,86,60,49,86,52,0,56,2011,41.1402759,-100.7601454
Odessa-Midland TX,633,52,20,48,55,52,54,66,31,72,2011,31.9391746,-102.2522487
Oklahoma City OK,650,57,32,60,55,60,57,62,38,71,2011,35.4675602,-97.5164276
Omaha NE,652,56,31,56,58,58,62,67,35,68,2011,41.2565369,-95.9345034
Orlando-Daytona Beach-Melbourne FL,534,56,42,56,47,69,45,62,27,61,2011,,
Ottumwa IA-Kirksville MO,631,58,46,61,61,44,59,63,56,55,2011,,
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,632,62,69,70,65,67,54,70,36,70,2011,37.0833893,-88.6000478
Palm Springs CA,804,58,21,57,48,60,56,71,32,59,2011,33.8302961,-116.5452921
Panama City FL,656,60,30,65,49,70,43,59,24,64,2011,30.1588129,-85.6602058
Parkersburg WV,597,65,24,66,65,52,37,73,39,85,2011,39.2667418,-81.5615135
Peoria-Bloomington IL,675,62,30,71,59,62,56,63,46,71,2011,40.4566216,-88.9758277
Philadelphia PA,504,66,40,55,59,84,67,64,35,67,2011,,
Phoenix AZ,753,55,45,55,51,63,54,64,30,66,2011,33.4483771,-112.0740373
Pittsburgh PA,508,67,41,63,64,78,67,71,36,72,2011,40.4406248,-79.9958864
Portland OR,820,51,27,56,56,57,57,61,34,62,2011,45.5051064,-122.6750261
Portland-Auburn ME,500,65,41,64,63,72,64,61,35,68,2011,44.021648,-70.2832225
Presque Isle ME,552,73,38,54,72,52,76,88,28,88,2011,46.681153,-68.0158614
Providence RI-New Bedford MA,521,59,35,56,61,79,59,62,35,65,2011,41.8563438,-71.2874209
Quincy IL-Hannibal MO-Keokuk IA,717,66,70,46,83,55,66,55,70,79,2011,,
Raleigh-Durham (Fayetteville) NC,560,61,44,57,55,60,69,60,43,68,2011,35.0478668,-78.8565861
Rapid City SD,764,52,37,67,65,56,68,58,34,75,2011,44.0805434,-103.2310149
Reno NV,811,54,28,66,58,55,55,62,40,62,2011,39.5296329,-119.8138027
Richmond-Petersburg VA,556,63,51,59,59,62,52,58,29,63,2011,,
Roanoke-Lynchburg VA,573,59,43,58,63,78,68,61,47,67,2011,37.3177678,-79.9994997
Rochester MN-Mason City IA-Austin MN,611,100,100,87,71,59,100,65,61,100,2011,,
Rochester NY,538,64,31,61,60,51,62,58,39,66,2011,43.1565779,-77.6088465
Rockford IL,610,58,33,56,59,80,51,58,34,61,2011,42.2711311,-89.0939952
Sacramento-Stockton-Modesto CA,862,53,29,53,53,52,62,60,34,60,2011,37.9570225,-121.2797902
Salisbury MD,576,69,36,72,59,75,65,68,44,79,2011,38.3606736,-75.5993692
Salt Lake City UT,770,50,32,54,61,67,51,58,40,68,2011,40.7607793,-111.8910474
San Angelo TX,661,58,24,66,52,100,52,66,41,66,2011,31.4637723,-100.4370375
San Antonio TX,641,51,42,47,49,67,58,63,30,70,2011,29.4241219,-98.4936282
San Diego CA,825,53,39,49,50,55,64,57,35,60,2011,32.715738,-117.1610838
San Francisco-Oakland-San Jose CA,807,51,29,51,45,46,59,58,25,57,2011,,
Santa Barbara-Santa Maria-San Luis Obispo CA,855,52,24,60,56,51,52,53,31,54,2011,34.9226032,-120.4299882
Savannah GA,507,58,44,64,52,63,54,65,47,67,2011,32.0808989,-81.091203
Seattle-Tacoma WA,819,51,23,52,52,57,64,62,26,57,2011,47.4502499,-122.3088165
Sherman TX-Ada OK,657,56,28,68,63,73,49,58,32,66,2011,33.6872249,-96.5753925
Shreveport LA,612,60,50,61,56,65,56,71,37,79,2011,32.5251516,-93.7501789
Sioux City IA,624,58,42,51,70,52,51,67,33,71,2011,42.4963416,-96.4049408
Sioux Falls(Mitchell) SD,725,65,44,62,65,53,82,65,56,76,2011,43.5835394,-96.7118155
South Bend-Elkhart IN,588,62,33,54,57,55,53,57,41,58,2011,41.6843287,-85.9708313
Spokane WA,881,53,29,60,62,61,59,63,38,72,2011,47.6587802,-117.4260465
Springfield MO,619,58,36,61,60,62,51,63,33,69,2011,37.2089572,-93.2922989
Springfield-Holyoke MA,543,58,26,58,68,81,55,63,42,59,2011,42.2042586,-72.6162009
St. Joseph MO,638,62,51,59,65,58,68,74,69,56,2011,39.7674578,-94.846681
St. Louis MO,609,58,35,58,57,69,55,64,35,68,2011,38.6270025,-90.1994042
Syracuse NY,555,62,40,60,65,54,60,58,46,66,2011,43.0481221,-76.1474244
Tallahassee FL-Thomasville GA,530,59,45,56,59,72,62,61,49,70,2011,30.3350027,-84.2105744
Tampa-St. Petersburg (Sarasota) FL,539,62,38,61,47,75,50,60,23,61,2011,28.274347,-82.3885783
Terre Haute IN,581,58,40,66,77,70,61,64,54,90,2011,39.4667034,-87.4139092
Toledo OH,547,59,40,57,63,63,55,68,51,72,2011,41.6528052,-83.5378674
Topeka KS,605,55,27,58,62,53,64,68,44,66,2011,39.0473451,-95.6751576
Traverse City-Cadillac MI,540,62,32,73,60,53,58,57,41,72,2011,44.7354212,-85.5946084
Tri-Cities TN-VA,531,71,79,72,66,62,71,83,36,89,2011,36.5450182,-82.5555539
Tucson (Sierra Vista) AZ,789,59,37,57,58,57,66,66,40,70,2011,32.2709837,-110.9614306
Tulsa OK,671,59,31,61,50,59,51,61,33,66,2011,36.1539816,-95.992775
Twin Falls ID,760,51,38,44,65,63,42,54,52,56,2011,42.5558381,-114.4700518
Tyler-Longview(Lufkin & Nacogdoches) TX,709,54,38,62,60,82,61,60,51,80,2011,,
Utica NY,526,63,30,61,75,51,51,67,62,62,2011,43.100903,-75.232664
Victoria TX,626,58,25,65,56,94,54,89,0,71,2011,28.8052674,-97.0035982
Waco-Temple-Bryan TX,625,48,44,54,52,50,74,62,44,64,2011,31.6046625,-97.1980025
Washington DC (Hagerstown MD),511,56,32,49,47,53,68,57,33,62,2011,39.642645,-77.721057
Watertown NY,549,58,49,57,66,51,65,68,44,61,2011,43.9747838,-75.9107565
Wausau-Rhinelander WI,705,62,69,66,67,55,73,69,45,69,2011,45.6555505,-89.3920037
West Palm Beach-Ft. Pierce FL,548,61,45,59,49,73,49,60,26,61,2011,27.366166,-80.2467597
Wheeling WV-Steubenville OH,554,64,41,74,64,78,60,74,38,79,2011,40.3668048,-80.6317037
Wichita Falls TX & Lawton OK,627,53,23,58,57,82,61,69,39,68,2011,34.6092311,-98.418011
Wichita-Hutchinson KS,678,56,32,63,60,55,53,58,38,70,2011,37.6871761,-97.330053
Wilkes Barre-Scranton PA,577,65,28,61,67,77,71,68,35,63,2011,41.2343893,-75.8534771
Wilmington NC,550,61,37,78,59,76,69,69,40,67,2011,34.2103894,-77.8868117
Yakima-Pasco-Richland-Kennewick WA,810,55,30,57,62,49,66,56,40,68,2011,46.2529128,-119.230849
Youngstown OH,536,64,36,66,70,70,51,73,47,59,2011,41.0997803,-80.6495194
Yuma AZ-El Centro CA,771,48,29,43,63,61,43,49,49,66,2011,32.6926512,-114.6276916
Zanesville OH,596,66,54,60,66,84,41,71,32,73,2011,39.9403453,-82.0131924
Abilene-Sweetwater TX,662,58,27,57,59,71,44,50,35,58,2012,32.4106903,-99.7653019
Albany GA,525,64,55,70,65,53,42,68,75,70,2012,31.5785074,-84.155741
Albany-Schenectady-Troy NY,532,67,30,57,70,57,64,68,54,60,2012,42.7636479,-73.6536209
Albuquerque-Santa Fe NM,790,60,30,56,67,51,67,59,53,70,2012,35.658802,-105.9603685
Alexandria LA,644,58,29,61,82,59,44,55,64,55,2012,31.3112936,-92.4451371
Alpena MI,583,66,0,63,93,72,87,71,0,53,2012,45.0616794,-83.4327528
Amarillo TX,634,55,31,56,69,50,68,66,29,69,2012,35.2219971,-101.8312969
Anchorage AK,743,48,22,64,58,33,60,54,46,58,2012,61.2180556,-149.9002778
Atlanta GA,524,59,35,54,54,55,46,60,40,52,2012,33.7489954,-84.3879824
Augusta GA,520,65,56,71,69,74,50,60,72,72,2012,33.4734978,-82.0105148
Austin TX,635,53,28,51,57,64,61,64,39,56,2012,30.267153,-97.7430608
Bakersfield CA,800,53,35,52,62,38,46,60,50,51,2012,35.3732921,-119.0187125
Baltimore MD,512,67,50,61,69,64,66,61,64,69,2012,39.2903848,-76.6121893
Bangor ME,537,70,40,74,77,66,70,71,55,72,2012,44.8016128,-68.7712257
Baton Rouge LA,716,59,50,61,58,69,48,66,59,60,2012,30.4514677,-91.1871466
Beaumont-Port Arthur TX,692,60,51,61,59,50,52,68,41,57,2012,30.080174,-94.1265562
Bend OR,821,60,38,69,67,41,76,51,52,52,2012,44.0581728,-121.3153096
"Billings, MT",756,58,35,59,69,61,62,56,47,65,2012,45.7832856,-108.5006904
Biloxi-Gulfport MS,746,63,38,79,66,62,55,62,43,65,2012,30.3674198,-89.0928155
Binghamton NY,502,62,29,54,74,47,56,68,61,63,2012,42.0986867,-75.9179738
Birmingham AL,630,66,69,63,67,77,55,65,55,68,2012,33.5185892,-86.8103567
Bluefield-Beckley-Oak Hill WV,559,68,26,75,74,63,67,85,41,64,2012,37.2698395,-81.2223195
Boise ID,757,52,29,59,68,80,60,57,55,64,2012,43.6150186,-116.2023137
Boston MA-Manchester NH,506,64,34,55,64,89,61,62,44,58,2012,42.929687,-71.4352177
Bowling Green KY,736,60,19,66,62,79,49,65,71,58,2012,36.9685219,-86.4808043
Buffalo NY,514,71,34,59,77,58,64,65,56,64,2012,42.8864468,-78.8783689
Burlington VT-Plattsburgh NY,523,65,33,64,74,74,77,59,65,60,2012,44.6988382,-73.3804304
Butte-Bozeman MT,754,51,22,60,60,52,65,62,60,55,2012,45.6734503,-111.0924495
Casper-Riverton WY,767,54,33,79,79,33,57,80,32,58,2012,42.8505217,-106.3085313
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,637,63,37,59,71,56,62,63,68,64,2012,41.9778795,-91.6656232
Champaign & Springfield-Decatur IL,648,64,52,63,77,51,60,59,77,63,2012,,
Charleston SC,519,65,37,74,68,54,55,62,52,64,2012,32.7764749,-79.9310512
Charleston-Huntington WV,564,72,45,67,81,62,69,75,65,72,2012,38.4123775,-82.4270257
Charlotte NC,517,59,29,55,58,59,46,62,41,56,2012,35.2270869,-80.8431267
Charlottesville VA,584,69,62,66,76,60,62,70,60,61,2012,38.0293059,-78.4766781
Chattanooga TN,575,58,32,58,69,55,56,63,44,60,2012,35.0456297,-85.3096801
Cheyenne WY-Scottsbluff NE,759,53,39,65,72,50,58,52,74,69,2012,41.876312,-103.637984
Chicago IL,602,58,28,54,58,61,45,64,38,52,2012,41.8781136,-87.6297982
Chico-Redding CA,868,56,32,62,65,67,49,61,53,65,2012,39.775148,-121.8699698
Cincinnati OH,515,62,38,55,70,53,60,60,52,63,2012,39.1031182,-84.5120196
Clarksburg-Weston WV,598,72,38,58,87,53,69,68,58,66,2012,39.2638017,-80.326903
Cleveland-Akron (Canton) OH,510,64,38,62,66,56,52,67,47,61,2012,41.0953742,-81.5867677
Colorado Springs-Pueblo CO,752,52,32,55,74,56,51,66,53,56,2012,38.7978203,-104.7935738
Columbia SC,546,64,53,62,68,53,58,62,77,72,2012,34.0007104,-81.0348144
Columbia-Jefferson City MO,604,67,57,67,76,64,63,60,85,66,2012,38.9517053,-92.3340724
Columbus GA,522,62,58,59,70,58,60,60,75,64,2012,32.4609764,-84.9877094
Columbus OH,535,65,29,56,65,57,52,69,48,59,2012,39.9611755,-82.9987942
Columbus-Tupelo-West Point MS,673,60,50,70,74,78,63,67,76,77,2012,34.2708332,-88.7150718
Corpus Christi TX,600,61,35,54,63,52,56,68,52,70,2012,27.8005828,-97.396381
Dallas-Ft. Worth TX,623,53,27,50,53,67,54,67,32,51,2012,32.7766642,-96.7969879
Davenport IA-Rock Island-Moline IL,682,61,40,57,69,49,56,59,52,61,2012,41.5067003,-90.5151342
Dayton OH,542,62,35,57,66,53,54,63,64,65,2012,39.7589478,-84.1916069
Denver CO,751,53,29,54,59,54,52,62,47,49,2012,39.7392358,-104.990251
Des Moines-Ames IA,679,59,28,56,74,54,61,57,51,59,2012,42.0236281,-93.6097448
Detroit MI,505,59,38,54,62,56,46,59,41,52,2012,42.331427,-83.0457538
Dothan AL,606,54,26,65,56,55,41,71,28,52,2012,31.2232313,-85.3904888
Duluth MN-Superior WI,676,61,46,83,90,53,71,66,58,75,2012,46.7207737,-92.1040796
El Paso TX,765,55,44,40,69,43,71,60,64,69,2012,31.7618778,-106.4850217
Elmira NY,565,69,22,54,73,54,59,73,57,57,2012,42.0897965,-76.8077338
Erie PA,516,68,30,65,84,69,58,68,64,63,2012,42.1292241,-80.085059
Eugene OR,801,53,33,59,72,46,59,53,65,60,2012,44.0520691,-123.0867536
Eureka CA,802,54,26,61,84,51,49,54,42,57,2012,40.8020712,-124.1636729
Evansville IN,649,66,36,60,73,66,56,77,58,64,2012,37.9715592,-87.5710898
Fairbanks AK,745,45,18,56,65,23,51,60,55,57,2012,64.8377778,-147.7163888
Fargo-Valley City ND,724,61,50,65,80,45,61,61,53,72,2012,46.9243955,-98.0035186
Flint-Saginaw-Bay City MI,513,65,39,64,69,60,49,67,57,57,2012,43.5993199,-83.8890847
Florence-Myrtle Beach SC,570,63,25,58,69,56,37,55,51,60,2012,33.703071,-78.8892497
Fresno-Visalia CA,866,49,30,48,59,47,36,52,49,48,2012,36.32166,-119.3148878
Ft. Myers-Naples FL,571,66,42,70,57,62,49,58,34,52,2012,26.1411682,-81.7935098
Ft. Smith-Fayetteville-Springdale-Rogers AR,670,54,30,57,71,77,56,69,50,58,2012,,
Ft. Wayne IN,509,61,42,57,73,47,51,62,56,62,2012,41.079273,-85.1393513
Gainesville FL,592,67,75,70,63,72,78,60,87,78,2012,29.6516344,-82.3248262
Glendive MT,798,62,0,0,0,0,0,0,0,0,2012,47.106401,-104.7107931
Grand Junction-Montrose CO,773,64,22,73,75,41,51,64,58,59,2012,38.4967651,-107.8989028
Grand Rapids-Kalamazoo-Battle Creek MI,563,59,30,62,75,51,57,61,56,56,2012,42.2355515,-85.5515933
Great Falls MT,755,57,34,62,69,41,73,62,68,61,2012,47.5052849,-111.3007715
Green Bay-Appleton WI,658,60,28,63,69,44,55,59,51,54,2012,44.2667743,-88.3850175
Greensboro-High Point-Winston Salem NC,518,64,34,61,66,62,59,59,58,64,2012,35.9556923,-80.0053176
Greenville-New Bern-Washington NC,545,62,51,68,68,61,57,69,73,70,2012,35.5984979,-77.0577179
Greenville-Spartanburg SC-Asheville NC-Anderson SC,567,63,34,64,69,61,60,66,47,59,2012,34.8526176,-82.3940104
Greenwood-Greenville MS,647,65,62,55,76,68,50,72,89,100,2012,33.5171152,-90.1763225
Harlingen-Weslaco-Brownsville-McAllen TX,636,55,45,44,59,80,61,49,68,63,2012,,
Harrisburg-Lancaster-Lebanon-York PA,566,66,40,58,72,74,61,65,47,63,2012,39.9830208,-76.7197723
Harrisonburg VA,569,61,34,61,91,69,53,59,66,62,2012,38.4495688,-78.8689155
Hartford & New Haven CT,533,69,38,60,75,81,68,59,56,62,2012,41.3055024,-72.9267354
Hattiesburg-Laurel MS,710,61,35,61,67,68,44,82,40,61,2012,31.468239,-89.335421
Helena MT,766,62,28,59,72,72,85,62,73,71,2012,46.5891452,-112.0391057
Honolulu HI,744,52,26,59,56,44,49,59,65,59,2012,21.3069444,-157.8583333
Houston TX,618,58,34,50,52,50,60,60,37,55,2012,29.7604267,-95.3698028
Huntsville-Decatur (Florence) AL,691,65,36,60,64,68,54,67,44,63,2012,34.8279976,-87.6209133
Idaho Falls-Pocatello ID,758,48,34,74,86,51,56,72,71,68,2012,42.906046,-112.4315298
Indianapolis IN,527,65,41,63,74,59,60,65,60,73,2012,39.768403,-86.158068
Jackson MS,718,68,59,63,73,90,46,69,68,75,2012,32.2987573,-90.1848103
Jackson TN,639,61,78,65,74,64,61,64,41,70,2012,35.6145169,-88.8139469
Jacksonville FL,561,62,59,63,62,89,53,60,53,67,2012,30.3321838,-81.655651
Johnstown-Altoona PA,574,65,51,60,89,53,57,66,85,61,2012,40.4529782,-78.3930329
Jonesboro AR,734,70,33,71,91,81,47,56,60,66,2012,35.8422967,-90.704279
Joplin MO-Pittsburg KS,603,58,34,58,79,57,55,62,65,67,2012,37.3948426,-94.700525
Juneau AK,747,54,0,81,65,28,70,42,0,66,2012,58.3019444,-134.4197221
Kansas City MO,616,61,42,59,67,58,52,62,46,61,2012,39.0997265,-94.5785667
Knoxville TN,557,62,30,64,66,59,58,68,44,59,2012,35.9606384,-83.9207392
La Crosse-Eau Claire WI,702,56,43,77,80,44,68,67,79,60,2012,44.8651049,-91.4743642
Lafayette IN,582,61,40,48,68,35,57,62,69,57,2012,40.4167022,-86.8752869
Lafayette LA,642,56,54,64,61,54,39,63,44,54,2012,30.2240897,-92.0198427
Lake Charles LA,643,56,40,71,67,63,56,82,52,57,2012,30.2265949,-93.2173758
Lansing MI,551,59,53,62,72,75,60,57,62,60,2012,42.732535,-84.5555347
Laredo TX,749,52,55,30,59,44,60,55,50,63,2012,27.5035613,-99.5075519
Las Vegas NV,839,55,44,50,55,57,46,57,36,52,2012,36.1699412,-115.1398296
Lexington KY,541,67,41,63,70,64,57,76,71,67,2012,38.0405837,-84.5037164
Lima OH,558,66,32,70,97,59,58,62,78,66,2012,40.742551,-84.1052256
Lincoln & Hastings-Kearney NE,722,59,32,55,71,49,55,65,68,62,2012,40.5827492,-98.3915866
Little Rock-Pine Bluff AR,693,65,46,68,75,83,58,67,59,72,2012,34.2025124,-92.0491611
Los Angeles CA,803,53,26,50,56,47,42,58,40,50,2012,34.0522342,-118.2436849
Louisville KY,529,65,48,65,67,85,57,69,51,66,2012,38.2526647,-85.7584557
Lubbock TX,651,53,38,52,68,71,55,57,53,68,2012,33.5778631,-101.8551665
Macon GA,503,59,48,60,63,74,57,58,67,67,2012,32.8406946,-83.6324022
Madison WI,669,59,24,65,63,51,62,66,44,55,2012,43.0730517,-89.4012302
Mankato MN,737,57,53,61,85,33,55,51,88,72,2012,44.1635775,-93.9993996
Marquette MI,553,62,51,80,84,61,70,64,44,52,2012,46.5436199,-87.3953713
Medford-Klamath Falls OR,813,57,29,67,66,43,60,48,45,58,2012,42.224924,-121.7722781
Memphis TN,640,67,78,59,63,64,49,60,63,72,2012,35.1495343,-90.0489801
Meridian MS,711,65,54,60,92,49,34,75,87,85,2012,32.3643098,-88.703656
Miami-Ft. Lauderdale FL,528,56,41,48,49,57,41,52,34,49,2012,26.0947577,-80.1352122
Milwaukee WI,617,61,38,63,72,62,57,60,45,61,2012,43.0389025,-87.9064736
Minneapolis-St. Paul MN,613,56,34,59,64,50,56,62,46,57,2012,44.9374831,-93.2009998
Minot-Bismarck-Dickinson(Williston) ND,687,57,24,69,62,33,53,64,38,61,2012,46.8067257,-100.7865799
Missoula MT,762,56,35,68,71,57,74,55,47,65,2012,46.8721284,-113.9940314
Mobile AL-Pensacola (Ft. Walton Beach) FL,686,63,40,65,62,58,52,65,45,61,2012,30.4684724,-87.2087375
Monroe LA-El Dorado AR,628,61,49,69,75,59,53,62,65,69,2012,33.2152717,-92.64196
Monterey-Salinas CA,828,52,25,58,64,39,51,48,54,50,2012,36.6777372,-121.6555013
Montgomery (Selma) AL,698,64,72,63,69,78,49,61,54,67,2012,32.4068484,-87.0190868
Nashville TN,659,66,45,63,67,68,63,68,54,65,2012,36.1626638,-86.7816016
New Orleans LA,622,59,41,64,56,60,49,75,38,57,2012,29.9510658,-90.0715323
New York NY,501,58,28,45,59,54,47,52,40,52,2012,40.7127753,-74.0059728
Norfolk-Portsmouth-Newport News VA,544,58,47,59,64,52,53,57,52,60,2012,36.8354258,-76.2982742
North Platte NE,740,54,32,56,90,45,50,54,0,70,2012,41.1402759,-100.7601454
Odessa-Midland TX,633,54,23,57,60,50,56,78,28,68,2012,31.9391746,-102.2522487
Oklahoma City OK,650,57,32,55,63,56,64,65,56,67,2012,35.4675602,-97.5164276
Omaha NE,652,62,32,58,63,65,53,66,50,62,2012,41.2565369,-95.9345034
Orlando-Daytona Beach-Melbourne FL,534,60,39,56,55,66,45,64,34,53,2012,,
Ottumwa IA-Kirksville MO,631,63,35,68,91,34,53,53,80,75,2012,,
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,632,65,53,65,73,77,52,68,65,62,2012,37.0833893,-88.6000478
Palm Springs CA,804,59,24,66,57,53,45,64,36,56,2012,33.8302961,-116.5452921
Panama City FL,656,59,39,70,60,63,45,62,32,55,2012,30.1588129,-85.6602058
Parkersburg WV,597,71,33,60,73,52,63,73,46,61,2012,39.2667418,-81.5615135
Peoria-Bloomington IL,675,63,33,63,69,46,65,63,59,65,2012,40.4566216,-88.9758277
Philadelphia PA,504,69,39,56,69,83,62,65,51,61,2012,39.9525839,-75.1652215
Phoenix AZ,753,59,44,57,62,63,53,64,46,60,2012,33.4483771,-112.0740373
Pittsburgh PA,508,68,39,63,73,76,61,66,52,66,2012,40.4406248,-79.9958864
Portland OR,820,53,30,57,64,48,60,56,49,58,2012,45.5051064,-122.6750261
Portland-Auburn ME,500,67,42,67,74,73,68,61,46,65,2012,44.021648,-70.2832225
Presque Isle ME,552,78,38,100,98,93,46,50,58,78,2012,46.681153,-68.0158614
Providence RI-New Bedford MA,521,62,38,56,75,69,60,66,54,59,2012,41.8563438,-71.2874209
Quincy IL-Hannibal MO-Keokuk IA,717,66,55,69,100,51,63,64,95,69,2012,,
Raleigh-Durham (Fayetteville) NC,560,65,43,59,65,55,66,60,60,63,2012,35.0478668,-78.8565861
Rapid City SD,764,55,39,68,81,48,57,70,67,59,2012,44.0805434,-103.2310149
Reno NV,811,58,31,61,68,46,54,61,50,59,2012,39.5296329,-119.8138027
Richmond-Petersburg VA,556,65,59,59,71,58,51,55,53,69,2012,,
Roanoke-Lynchburg VA,573,61,44,65,78,76,63,57,58,66,2012,37.3177678,-79.9994997
Rochester MN-Mason City IA-Austin MN,611,100,100,93,87,50,100,71,100,91,2012,,
Rochester NY,538,68,40,58,71,48,66,62,57,60,2012,43.1565779,-77.6088465
Rockford IL,610,62,31,64,68,62,61,69,58,67,2012,42.2711311,-89.0939952
Sacramento-Stockton-Modesto CA,862,56,29,56,61,49,49,60,51,60,2012,37.9570225,-121.2797902
Salisbury MD,576,66,48,76,76,71,59,68,62,57,2012,38.3606736,-75.5993692
Salt Lake City UT,770,51,34,57,68,62,48,59,54,60,2012,40.7607793,-111.8910474
San Angelo TX,661,54,34,58,60,100,69,85,60,65,2012,31.4637723,-100.4370375
San Antonio TX,641,51,31,43,52,60,53,56,34,55,2012,29.4241219,-98.4936282
San Diego CA,825,56,41,51,57,50,50,58,46,58,2012,32.715738,-117.1610838
San Francisco-Oakland-San Jose CA,807,53,30,51,55,40,50,52,38,51,2012,,
Santa Barbara-Santa Maria-San Luis Obispo CA,855,53,25,54,67,40,50,56,57,51,2012,34.9226032,-120.4299882
Savannah GA,507,60,41,65,67,53,56,62,58,60,2012,32.0808989,-81.091203
Seattle-Tacoma WA,819,53,22,54,61,51,65,60,36,52,2012,47.4502499,-122.3088165
Sherman TX-Ada OK,657,59,39,64,75,63,68,63,42,63,2012,33.6872249,-96.5753925
Shreveport LA,612,59,41,61,67,60,61,67,48,64,2012,32.5251516,-93.7501789
Sioux City IA,624,56,40,60,83,46,43,55,55,62,2012,42.4963416,-96.4049408
Sioux Falls(Mitchell) SD,725,69,58,66,75,46,66,66,69,77,2012,43.5835394,-96.7118155
South Bend-Elkhart IN,588,61,42,54,68,45,54,61,57,58,2012,41.6843287,-85.9708313
Spokane WA,881,57,37,65,73,51,68,57,61,63,2012,47.6587802,-117.4260465
Springfield MO,619,61,35,66,74,60,61,71,48,65,2012,37.2089572,-93.2922989
Springfield-Holyoke MA,543,60,34,59,79,75,59,64,47,56,2012,42.2042586,-72.6162009
St. Joseph MO,638,61,76,63,76,59,78,62,63,59,2012,39.7674578,-94.846681
St. Louis MO,609,62,31,57,63,65,52,65,41,57,2012,38.6270025,-90.1994042
Syracuse NY,555,64,37,61,76,51,68,61,81,60,2012,43.0481221,-76.1474244
Tallahassee FL-Thomasville GA,530,61,47,55,72,75,51,59,66,67,2012,30.3350027,-84.2105744
Tampa-St. Petersburg (Sarasota) FL,539,66,48,62,58,77,51,59,41,59,2012,28.274347,-82.3885783
Terre Haute IN,581,58,45,75,85,51,49,68,71,69,2012,39.4667034,-87.4139092
Toledo OH,547,62,44,59,71,62,51,58,72,65,2012,41.6528052,-83.5378674
Topeka KS,605,59,36,57,74,50,69,52,77,66,2012,39.0473451,-95.6751576
Traverse City-Cadillac MI,540,60,27,65,76,56,62,59,56,63,2012,44.7354212,-85.5946084
Tri-Cities TN-VA,531,72,54,68,75,67,58,67,47,68,2012,36.5450182,-82.5555539
Tucson (Sierra Vista) AZ,789,60,35,61,68,45,58,60,54,66,2012,32.2709837,-110.9614306
Tulsa OK,671,64,27,62,61,58,56,64,45,64,2012,36.1539816,-95.992775
Twin Falls ID,760,51,32,64,69,44,56,54,67,49,2012,42.5558381,-114.4700518
Tyler-Longview(Lufkin & Nacogdoches) TX,709,57,52,62,70,60,62,61,48,60,2012,,
Utica NY,526,66,33,69,83,51,57,67,56,59,2012,43.100903,-75.232664
Victoria TX,626,60,41,64,54,49,67,83,0,58,2012,28.8052674,-97.0035982
Waco-Temple-Bryan TX,625,50,45,55,68,49,77,70,59,57,2012,31.6046625,-97.1980025
Washington DC (Hagerstown MD),511,60,33,50,57,54,59,60,48,58,2012,39.642645,-77.721057
Watertown NY,549,60,34,63,70,43,74,73,70,61,2012,43.9747838,-75.9107565
Wausau-Rhinelander WI,705,61,70,66,77,55,72,59,71,61,2012,45.6555505,-89.3920037
